epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,6894.36,1.28224,1.19976,1.43897,0.60323,0.48534,0.53642,0.37134,1.23372,1.04761,1.34057,0.0034,0.0034,0.0034
82,6978.81,1.27585,1.19805,1.44084,0.61058,0.48235,0.53532,0.37041,1.23375,1.04877,1.34104,0.0033175,0.0033175,0.0033175
83,7062.91,1.28439,1.1978,1.43929,0.61676,0.47706,0.53575,0.37074,1.23409,1.0481,1.34062,0.003235,0.003235,0.003235
84,7147.21,1.27172,1.18749,1.43295,0.61395,0.47779,0.53496,0.37065,1.23304,1.04764,1.33999,0.0031525,0.0031525,0.0031525
85,7231.62,1.2731,1.17254,1.42989,0.6177,0.4762,0.5356,0.37076,1.23446,1.04758,1.34045,0.00307,0.00307,0.00307
86,7316.26,1.27263,1.17585,1.43162,0.62048,0.47568,0.53571,0.37057,1.23407,1.04679,1.34036,0.0029875,0.0029875,0.0029875
87,7400.54,1.27173,1.17691,1.43331,0.62253,0.47543,0.53593,0.37122,1.23325,1.04572,1.33977,0.002905,0.002905,0.002905
88,7484.33,1.26233,1.17481,1.42981,0.62596,0.4757,0.53618,0.37161,1.2332,1.04455,1.34002,0.0028225,0.0028225,0.0028225
89,7567.94,1.26921,1.17173,1.43016,0.62093,0.4765,0.53671,0.37167,1.23248,1.04425,1.33947,0.00274,0.00274,0.00274
90,7652.74,1.27419,1.1693,1.42714,0.61921,0.47803,0.53731,0.37192,1.23213,1.04341,1.339,0.0026575,0.0026575,0.0026575
91,7736.29,1.26167,1.1613,1.42497,0.62224,0.47595,0.53693,0.37199,1.23196,1.04285,1.33878,0.002575,0.002575,0.002575
92,7820.35,1.25779,1.15303,1.41795,0.616,0.47786,0.5369,0.37199,1.23103,1.042,1.33819,0.0024925,0.0024925,0.0024925
93,7903.7,1.25401,1.15599,1.42056,0.61617,0.47865,0.53689,0.37219,1.22958,1.04166,1.33726,0.00241,0.00241,0.00241
94,7987.3,1.24306,1.14961,1.41799,0.62202,0.47292,0.53649,0.37218,1.22928,1.04178,1.33693,0.0023275,0.0023275,0.0023275
95,8071.57,1.25391,1.14146,1.41588,0.61972,0.47073,0.53579,0.37203,1.22914,1.0424,1.3365,0.002245,0.002245,0.002245
96,8155.96,1.25921,1.15149,1.42236,0.6209,0.47183,0.5356,0.372,1.22882,1.0422,1.33634,0.0021625,0.0021625,0.0021625
97,8240.31,1.25199,1.1319,1.41265,0.62661,0.46626,0.53534,0.37184,1.2286,1.04236,1.33586,0.00208,0.00208,0.00208
98,8324.79,1.25103,1.14134,1.4137,0.62643,0.4679,0.5352,0.37186,1.22835,1.04223,1.33536,0.0019975,0.0019975,0.0019975
99,8409.07,1.24869,1.13793,1.41283,0.62872,0.46678,0.53512,0.37179,1.22816,1.04224,1.33538,0.001915,0.001915,0.001915
100,8493.05,1.23209,1.12265,1.40257,0.62978,0.46767,0.53327,0.37047,1.22757,1.04242,1.33489,0.0018325,0.0018325,0.0018325
101,8576.93,1.23374,1.12363,1.40634,0.63173,0.46558,0.5331,0.37045,1.22712,1.04216,1.33432,0.00175,0.00175,0.00175
102,8661.36,1.25007,1.12078,1.40755,0.63152,0.4667,0.53349,0.37046,1.22713,1.04208,1.33427,0.0016675,0.0016675,0.0016675
103,8744.65,1.23178,1.10653,1.40067,0.63592,0.46546,0.53362,0.37065,1.22701,1.04212,1.33407,0.001585,0.001585,0.001585
104,8828.13,1.22856,1.10644,1.39949,0.63772,0.46344,0.53352,0.37058,1.22742,1.04181,1.33428,0.0015025,0.0015025,0.0015025
105,8912.05,1.23116,1.10394,1.39628,0.64042,0.46315,0.5336,0.3706,1.22735,1.04203,1.33439,0.00142,0.00142,0.00142
106,8995.78,1.22658,1.10174,1.39763,0.64179,0.46258,0.53389,0.37064,1.22754,1.04138,1.33431,0.0013375,0.0013375,0.0013375
107,9080.44,1.23515,1.09489,1.39787,0.64206,0.46242,0.534,0.37063,1.22733,1.04095,1.33404,0.001255,0.001255,0.001255
108,9164.3,1.22301,1.0958,1.39482,0.63987,0.46306,0.53426,0.37055,1.22708,1.04114,1.33374,0.0011725,0.0011725,0.0011725
109,9248.18,1.22788,1.09629,1.39579,0.6422,0.46195,0.53417,0.37056,1.22691,1.04113,1.33344,0.00109,0.00109,0.00109
110,9332.18,1.21772,1.08008,1.38804,0.64005,0.46267,0.53388,0.37061,1.22683,1.0406,1.33344,0.0010075,0.0010075,0.0010075
111,9416.87,1.17688,0.86312,1.34835,0.63645,0.46372,0.53396,0.37056,1.22773,1.04004,1.3343,0.000925,0.000925,0.000925
112,9496.81,1.16015,0.82375,1.33494,0.63326,0.46587,0.5336,0.37052,1.22785,1.0402,1.33441,0.0008425,0.0008425,0.0008425
113,9576.75,1.15192,0.81538,1.33049,0.63445,0.46568,0.53355,0.37034,1.22657,1.03993,1.33316,0.00076,0.00076,0.00076
