epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,165.583,1.29561,1.18299,1.38244,0.9352,0.52164,0.68598,0.35731,1.81848,1.60031,1.99035,0.0009035,0.0009035,0.0009035
58,167.765,1.19652,1.1395,1.31853,0.80723,0.62132,0.73405,0.35414,1.72449,1.44489,1.86961,0.000897313,0.000897313,0.000897313
59,170.229,1.27408,1.14557,1.35917,0.92405,0.61334,0.79018,0.3896,1.6967,1.46082,1.86328,0.000891125,0.000891125,0.000891125
60,172.721,1.25485,1.12259,1.33342,0.66589,0.75302,0.7545,0.39102,1.68759,1.51923,1.82483,0.000884938,0.000884938,0.000884938
61,174.842,1.19663,1.07634,1.31564,0.72459,0.79939,0.82817,0.45632,1.61996,1.18586,1.74504,0.00087875,0.00087875,0.00087875
62,177.275,1.24818,1.17201,1.36167,0.88645,0.70959,0.84457,0.43899,1.68242,1.28135,1.83612,0.000872563,0.000872563,0.000872563
63,179.487,1.27255,1.13413,1.34804,0.78044,0.76259,0.83871,0.42224,1.73527,1.2345,1.87514,0.000866375,0.000866375,0.000866375
64,181.836,1.20455,1.08706,1.32408,0.86439,0.78527,0.82379,0.4264,1.69383,1.18912,1.80098,0.000860188,0.000860188,0.000860188
65,184.173,1.20137,1.09022,1.31045,0.85225,0.77804,0.80677,0.4415,1.66368,1.19169,1.77807,0.000854,0.000854,0.000854
66,186.48,1.25169,1.15804,1.3711,0.83739,0.76985,0.82441,0.46174,1.63509,1.14381,1.76119,0.000847813,0.000847813,0.000847813
67,188.678,1.21907,1.14724,1.34192,0.78954,0.81599,0.83816,0.46443,1.61595,1.13898,1.74937,0.000841625,0.000841625,0.000841625
68,191.078,1.19626,1.0404,1.31205,0.71974,0.67891,0.76858,0.39099,1.71376,1.30193,1.91542,0.000835438,0.000835438,0.000835438
69,193.449,1.17023,1.01464,1.30074,0.70245,0.64577,0.74478,0.36957,1.78772,1.47816,1.94448,0.00082925,0.00082925,0.00082925
70,195.831,1.18751,1.04667,1.29767,0.76798,0.73198,0.79187,0.39239,1.75785,1.3486,1.9596,0.000823063,0.000823063,0.000823063
71,198.215,1.19255,1.05572,1.31335,0.81929,0.8119,0.83961,0.41765,1.7676,1.27421,1.94006,0.000816875,0.000816875,0.000816875
72,200.494,1.16859,1.05139,1.29077,0.86522,0.8191,0.83095,0.41218,1.77066,1.19232,1.91176,0.000810688,0.000810688,0.000810688
73,202.864,1.15214,0.97034,1.26528,0.80231,0.77726,0.82451,0.44882,1.71912,1.16659,1.88975,0.0008045,0.0008045,0.0008045
74,205.13,1.19151,1.023,1.30951,0.80152,0.76778,0.82036,0.44331,1.62206,1.1775,1.81279,0.000798313,0.000798313,0.000798313
75,207.484,1.17806,1.03505,1.30295,0.84426,0.72784,0.79192,0.41007,1.67199,1.2701,1.85261,0.000792125,0.000792125,0.000792125
76,210.001,1.13041,0.97271,1.25708,0.82935,0.74183,0.8156,0.43471,1.62813,1.21214,1.81549,0.000785938,0.000785938,0.000785938
77,212.329,1.1626,1.0028,1.27963,0.88386,0.67403,0.83639,0.45699,1.67859,1.16024,1.83536,0.00077975,0.00077975,0.00077975
78,214.706,1.07755,0.94056,1.24852,0.81943,0.78097,0.84214,0.45997,1.62011,1.14088,1.77701,0.000773563,0.000773563,0.000773563
79,217.009,1.16511,1.01029,1.28378,0.83878,0.80933,0.84302,0.45129,1.61072,1.1594,1.72046,0.000767375,0.000767375,0.000767375
80,219.386,1.12541,0.9511,1.24367,0.80353,0.78282,0.81233,0.46759,1.54695,1.11737,1.7004,0.000761188,0.000761188,0.000761188
81,221.743,1.10392,0.97317,1.26303,0.89906,0.76589,0.84361,0.46037,1.58255,1.0907,1.72017,0.000755,0.000755,0.000755
82,224.14,1.05159,0.90339,1.21275,0.75282,0.77245,0.80605,0.42437,1.6784,1.31022,1.77468,0.000748813,0.000748813,0.000748813
83,226.389,1.17997,1.03568,1.29932,0.76424,0.79605,0.8199,0.44376,1.61338,1.22656,1.73326,0.000742625,0.000742625,0.000742625
84,228.761,1.08555,0.96442,1.24282,0.86963,0.76147,0.83613,0.45165,1.63833,1.12849,1.79068,0.000736438,0.000736438,0.000736438
85,231.109,1.08006,0.96668,1.25066,0.73303,0.77263,0.82575,0.44449,1.64852,1.17798,1.79669,0.00073025,0.00073025,0.00073025
86,233.58,1.13181,0.99679,1.2887,0.72928,0.75254,0.80559,0.41836,1.70868,1.23684,1.90226,0.000724062,0.000724062,0.000724062
87,235.952,1.1058,0.92344,1.25554,0.76927,0.77484,0.80415,0.43738,1.67932,1.19188,1.84409,0.000717875,0.000717875,0.000717875
88,238.178,1.11719,1.02327,1.28903,0.7601,0.76799,0.8201,0.4448,1.59297,1.137,1.7548,0.000711687,0.000711687,0.000711687
89,240.406,1.11001,0.94235,1.24954,0.8535,0.69421,0.80853,0.43309,1.62635,1.20571,1.75386,0.0007055,0.0007055,0.0007055
90,242.763,1.09614,0.99148,1.26853,0.7759,0.69123,0.78124,0.44165,1.64541,1.33572,1.77879,0.000699312,0.000699312,0.000699312
91,244.895,1.03688,0.87871,1.23655,0.93202,0.66908,0.81782,0.45777,1.63156,1.18051,1.71629,0.000693125,0.000693125,0.000693125
92,247.305,1.03896,0.88142,1.22581,0.83236,0.71162,0.79817,0.46113,1.576,1.22288,1.70782,0.000686937,0.000686937,0.000686937
93,249.777,1.03605,0.86765,1.21181,0.79929,0.74782,0.81965,0.478,1.59165,1.14593,1.71865,0.00068075,0.00068075,0.00068075
94,252.082,1.0642,0.87876,1.22505,0.87189,0.7835,0.84628,0.47066,1.61345,1.05258,1.75249,0.000674562,0.000674562,0.000674562
95,254.369,1.08138,0.93149,1.2623,0.94031,0.71288,0.83271,0.45913,1.63877,1.03065,1.79342,0.000668375,0.000668375,0.000668375
96,256.857,1.02776,0.8443,1.20344,0.7665,0.79057,0.85669,0.44799,1.70509,1.22296,1.89117,0.000662188,0.000662188,0.000662188
97,259.251,1.04313,0.84306,1.24492,0.91289,0.69614,0.84626,0.44367,1.71512,1.1709,1.93667,0.000656,0.000656,0.000656
98,261.876,1.03981,0.84461,1.21597,0.88526,0.78768,0.86232,0.43695,1.72278,1.10976,1.92666,0.000649813,0.000649813,0.000649813
99,264.277,1.12402,0.97775,1.27786,0.89707,0.74733,0.8508,0.44813,1.69083,1.17822,1.86036,0.000643625,0.000643625,0.000643625
100,266.703,1.03344,0.83851,1.21016,0.80608,0.78231,0.85111,0.47942,1.59774,1.09086,1.75123,0.000637437,0.000637437,0.000637437
101,268.876,1.06316,0.88241,1.24893,0.77664,0.80429,0.85278,0.472,1.61107,1.03422,1.77014,0.00063125,0.00063125,0.00063125
